Gender,Age_Group,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg,Exercise_Label
Female,Teen,1.0,3.0,-0.55,-0.74,0.34,1.74,Glute Bridge
Female,Teen,2.0,1.0,-0.32,0.42,-0.7,0.62,Resistance Band Shoulder Squeeze
Female,Teen,1.0,4.0,2.33,0.67,0.44,2.39,Glute Bridge
Female,Teen,1.0,1.0,3.35,1.11,-0.38,-0.52,Bird Dog
Female,Teen,3.0,4.0,-0.28,-1.09,1.08,-2.18,Glute Bridge
Female,Teen,6.0,0.0,-1.56,-3.29,-2.22,-0.0,Wall Angel
Female,Teen,5.0,0.0,1.79,0.36,1.81,-0.0,Wall Angel
Female,Teen,0.0,4.0,0.26,-0.91,-0.0,-2.25,Glute Bridge
Female,Teen,7.0,2.0,1.25,1.68,2.04,0.95,Wall Angel
Female,Teen,10.0,3.0,1.69,2.27,3.27,1.79,Wall Angel
Female,Teen,3.0,1.0,-1.49,-1.95,1.1,-0.6,Resistance Band Shoulder Squeeze
Female,Teen,1.0,1.0,-2.12,-0.36,-0.35,0.58,Bird Dog
Female,Teen,1.0,0.0,-0.61,1.06,0.4,-0.0,Bird Dog
Female,Teen,3.0,2.0,1.19,1.26,-1.21,1.22,Wall Angel
Female,Teen,6.0,3.0,-0.54,-0.36,1.79,-1.74,Wall Angel
Female,Teen,7.0,1.0,2.12,1.21,-2.51,-0.69,Wall Angel
Female,Teen,4.0,3.0,0.84,0.95,1.35,-1.67,Wall Angel
Female,Teen,6.0,0.0,2.42,0.77,2.02,-0.0,Wall Angel
Female,Teen,4.0,2.0,1.46,-0.2,1.35,-1.16,Wall Angel
Female,Teen,3.0,1.0,-2.88,-1.77,-1.07,-0.6,Bird Dog
Female,Teen,9.0,3.0,-2.02,-2.96,-3.32,-1.64,Wall Angel
Female,Teen,2.0,2.0,-1.48,-1.77,-0.69,-1.04,Bird Dog
Female,Teen,0.0,3.0,-1.69,-1.97,-0.0,-1.67,Glute Bridge
Female,Teen,2.0,1.0,-3.1,-1.95,0.72,-0.6,Bird Dog
Female,Teen,3.0,0.0,0.0,-0.42,-1.17,-0.0,Wall Angel
Female,Teen,6.0,1.0,-1.19,-1.19,-2.25,0.59,Wall Angel
Female,Teen,2.0,0.0,0.85,1.15,-0.77,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,3.0,1.0,-0.81,0.37,1.04,-0.58,Resistance Band Shoulder Squeeze
Female,Teen,4.0,0.0,-2.76,-2.68,-1.54,-0.0,Wall Angel
Female,Teen,2.0,1.0,-1.09,-1.33,-0.83,-0.58,Resistance Band Shoulder Squeeze
Female,Teen,2.0,1.0,1.49,1.01,0.74,0.56,Resistance Band Shoulder Squeeze
Female,Teen,0.0,3.0,2.3,0.4,-0.0,1.58,Glute Bridge
Female,Teen,1.0,1.0,-0.81,-1.29,0.37,-0.56,Bird Dog
Female,Teen,0.0,4.0,-1.09,-0.73,-0.0,2.83,Glute Bridge
Female,Teen,2.0,1.0,-0.31,-1.25,0.82,0.57,Resistance Band Shoulder Squeeze
Female,Teen,1.0,1.0,1.53,0.21,0.37,0.57,Bird Dog
Female,Teen,4.0,3.0,4.5,2.98,1.56,1.91,Bird Dog
Female,Teen,1.0,2.0,-0.86,-1.35,-0.37,1.13,Glute Bridge
Female,Teen,6.0,1.0,0.28,0.0,2.22,0.56,Wall Angel
Female,Teen,4.0,2.0,0.74,0.69,-1.31,-1.04,Wall Angel
Female,Teen,3.0,2.0,-0.55,-1.34,1.13,-1.21,Resistance Band Shoulder Squeeze
Female,Teen,2.0,4.0,1.96,-0.56,-0.73,2.2,Glute Bridge
Female,Teen,3.0,1.0,0.57,-0.19,-1.12,0.54,Resistance Band Shoulder Squeeze
Female,Teen,4.0,5.0,-1.96,-3.26,1.58,2.92,Glute Bridge
Female,Teen,0.0,2.0,-3.33,-1.52,-0.0,-1.09,Bird Dog
Female,Teen,6.0,4.0,-1.02,-1.15,-2.4,2.25,Wall Angel
Female,Teen,1.0,1.0,1.1,0.38,0.37,-0.62,Glute Bridge
Female,Teen,1.0,0.0,-0.28,-0.95,-0.32,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,6.0,1.0,-1.25,-2.26,-1.95,0.52,Wall Angel
Female,Teen,3.0,1.0,-0.28,-1.19,1.15,0.55,Wall Angel
Female,Teen,5.0,1.0,-0.49,-0.87,1.6,-0.52,Wall Angel
Female,Teen,1.0,0.0,0.0,-1.71,0.37,-0.0,Bird Dog
Female,Teen,5.0,1.0,-0.58,-0.2,-1.88,-0.58,Wall Angel
Female,Teen,0.0,1.0,0.0,0.0,-0.0,0.65,Glute Bridge
Female,Teen,2.0,0.0,0.0,-0.36,-0.68,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,2.0,0.0,-1.75,-1.01,-0.77,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,0.0,1.0,0.64,-0.67,-0.0,0.62,Glute Bridge
Female,Teen,0.0,1.0,-1.52,0.21,-0.0,0.62,Bird Dog
Female,Teen,2.0,1.0,1.29,-0.18,0.66,-0.57,Resistance Band Shoulder Squeeze
Female,Teen,3.0,1.0,0.86,-1.15,-1.09,0.51,Resistance Band Shoulder Squeeze
Female,Teen,5.0,2.0,1.9,0.68,1.61,-1.01,Wall Angel
Female,Teen,0.0,1.0,-1.51,-1.93,-0.0,0.58,Bird Dog
Female,Teen,5.0,1.0,-2.28,-1.95,1.91,0.54,Wall Angel
Female,Teen,6.0,1.0,-0.25,-1.26,2.02,-0.58,Wall Angel
Female,Teen,7.0,3.0,1.9,-0.18,2.47,1.75,Wall Angel
Female,Teen,3.0,0.0,0.78,0.0,-1.11,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,3.0,0.0,-0.32,-0.21,-1.02,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,1.0,1.0,-0.84,-2.0,0.4,0.52,Bird Dog
