Group_ID,Person_ID,Pose_ID,Image_Filename,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg
F1,0297,P10,C_P10_0297_cam101_100f.jpg,1.00,3.00,-0.55,-0.74,0.34,1.74
F1,0308,P10,C_P10_0308_cam101_100f.jpg,2.00,1.00,-0.32,0.42,-0.70,0.62
F1,0309,P10,C_P10_0309_cam101_100f.jpg,1.00,4.00,2.33,0.67,0.44,2.39
F1,0310,P10,C_P10_0310_cam101_100f.jpg,1.00,1.00,3.35,1.11,-0.38,-0.52
F1,0311,P10,C_P10_0311_cam101_100f.jpg,3.00,4.00,-0.28,-1.09,1.08,-2.18
F1,0312,P10,C_P10_0312_cam101_100f.jpg,6.00,0.00,-1.56,-3.29,-2.22,-0.00
F1,0313,P10,C_P10_0313_cam101_100f.jpg,5.00,0.00,1.79,0.36,1.81,-0.00
F1,0314,P10,C_P10_0314_cam101_100f.jpg,0.00,4.00,0.26,-0.91,-0.00,-2.25
F1,0315,P10,C_P10_0315_cam101_100f.jpg,7.00,2.00,1.25,1.68,2.04,0.95
F1,0316,P10,C_P10_0316_cam101_100f.jpg,10.00,3.00,1.69,2.27,3.27,1.79
F1,0317,P10,C_P10_0317_cam101_100f.jpg,3.00,1.00,-1.49,-1.95,1.10,-0.60
F1,0318,P10,C_P10_0318_cam101_50f.jpg,1.00,1.00,-2.12,-0.36,-0.35,0.58
F1,0320,P10,C_P10_0320_cam101_100f.jpg,1.00,0.00,-0.61,1.06,0.40,-0.00
F1,0355,P10,E_P10_0355_cam101_50f.jpg,3.00,2.00,1.19,1.26,-1.21,1.22
F1,0356,P10,E_P10_0356_cam101_100f.jpg,6.00,3.00,-0.54,-0.36,1.79,-1.74
F1,0357,P10,E_P10_0357_cam101_100f.jpg,7.00,1.00,2.12,1.21,-2.51,-0.69
F1,0358,P10,E_P10_0358_cam101_100f.jpg,4.00,3.00,0.84,0.95,1.35,-1.67
F1,0359,P10,E_P10_0359_cam101_100f.jpg,6.00,0.00,2.42,0.77,2.02,-0.00
F1,0360,P10,E_P10_0360_cam101_100f.jpg,4.00,2.00,1.46,-0.20,1.35,-1.16
F1,0361,P10,E_P10_0361_cam101_100f.jpg,3.00,1.00,-2.88,-1.77,-1.07,-0.60
F1,0362,P10,E_P10_0362_cam101_100f.jpg,9.00,3.00,-2.02,-2.96,-3.32,-1.64
F1,0363,P10,E_P10_0363_cam101_100f.jpg,2.00,2.00,-1.48,-1.77,-0.69,-1.04
F1,0364,P10,E_P10_0364_cam101_100f.jpg,0.00,3.00,-1.69,-1.97,-0.00,-1.67
F1,0365,P10,E_P10_0365_cam101_100f.jpg,2.00,1.00,-3.10,-1.95,0.72,-0.60
F1,0366,P10,E_P10_0366_cam101_100f.jpg,3.00,0.00,0.00,-0.42,-1.17,-0.00
F1,0367,P10,E_P10_0367_cam101_100f.jpg,6.00,1.00,-1.19,-1.19,-2.25,0.59
F1,0368,P10,E_P10_0368_cam101_100f.jpg,2.00,0.00,0.85,1.15,-0.77,-0.00
F1,0369,P10,E_P10_0369_cam101_100f.jpg,3.00,1.00,-0.81,0.37,1.04,-0.58
F1,0420,P10,H_P10_0420_cam101_50f.jpg,4.00,0.00,-2.76,-2.68,-1.54,-0.00
F1,0421,P10,H_P10_0421_cam101_100f.jpg,2.00,1.00,-1.09,-1.33,-0.83,-0.58
F1,0422,P10,H_P10_0422_cam101_100f.jpg,2.00,1.00,1.49,1.01,0.74,0.56
F1,0423,P10,H_P10_0423_cam101_50f.jpg,0.00,3.00,2.30,0.40,-0.00,1.58
F1,0424,P10,H_P10_0424_cam101_100f.jpg,1.00,1.00,-0.81,-1.29,0.37,-0.56
F1,0425,P10,H_P10_0425_cam101_100f.jpg,0.00,4.00,-1.09,-0.73,-0.00,2.83
F1,0426,P10,H_P10_0426_cam101_50f.jpg,2.00,1.00,-0.31,-1.25,0.82,0.57
F1,0428,P10,H_P10_0428_cam101_50f.jpg,1.00,1.00,1.53,0.21,0.37,0.57
F1,0429,P10,H_P10_0429_cam101_50f.jpg,4.00,3.00,4.50,2.98,1.56,1.91
F1,0430,P10,H_P10_0430_cam101_100f.jpg,1.00,2.00,-0.86,-1.35,-0.37,1.13
F1,0431,P10,H_P10_0431_cam101_100f.jpg,6.00,1.00,0.28,0.00,2.22,0.56
F1,0432,P10,H_P10_0432_cam101_100f.jpg,4.00,2.00,0.74,0.69,-1.31,-1.04
F1,0433,P10,H_P10_0433_cam101_100f.jpg,3.00,2.00,-0.55,-1.34,1.13,-1.21
F1,0434,P10,H_P10_0434_cam101_100f.jpg,2.00,4.00,1.96,-0.56,-0.73,2.20
F1,0435,P10,H_P10_0435_cam101_100f.jpg,3.00,1.00,0.57,-0.19,-1.12,0.54
F1,0436,P10,H_P10_0436_cam101_50f.jpg,4.00,5.00,-1.96,-3.26,1.58,2.92
F1,0437,P10,H_P10_0437_cam101_100f.jpg,0.00,2.00,-3.33,-1.52,-0.00,-1.09
F1,0438,P10,H_P10_0438_cam101_100f.jpg,6.00,4.00,-1.02,-1.15,-2.40,2.25
F1,0439,P10,H_P10_0439_cam101_100f.jpg,1.00,1.00,1.10,0.38,0.37,-0.62
F1,0440,P10,H_P10_0440_cam101_100f.jpg,1.00,0.00,-0.28,-0.95,-0.32,-0.00
F1,0441,P10,H_P10_0441_cam101_100f.jpg,6.00,1.00,-1.25,-2.26,-1.95,0.52
F1,0442,P10,H_P10_0442_cam101_100f.jpg,3.00,1.00,-0.28,-1.19,1.15,0.55
F1,0443,P10,H_P10_0443_cam101_100f.jpg,5.00,1.00,-0.49,-0.87,1.60,-0.52
F1,0469,P10,J_P10_0469_cam101_100f.jpg,1.00,0.00,0.00,-1.71,0.37,-0.00
F1,0470,P10,J_P10_0470_cam101_50f.jpg,5.00,1.00,-0.58,-0.20,-1.88,-0.58
F1,0471,P10,J_P10_0471_cam101_50f.jpg,0.00,1.00,0.00,0.00,-0.00,0.65
F1,0472,P10,J_P10_0472_cam101_50f.jpg,2.00,0.00,0.00,-0.36,-0.68,-0.00
F1,0473,P10,J_P10_0473_cam101_50f.jpg,2.00,0.00,-1.75,-1.01,-0.77,-0.00
F1,0475,P10,J_P10_0475_cam101_50f.jpg,0.00,1.00,0.64,-0.67,-0.00,0.62
F1,0476,P10,J_P10_0476_cam101_100f.jpg,0.00,1.00,-1.52,0.21,-0.00,0.62
F1,0477,P10,J_P10_0477_cam101_50f.jpg,2.00,1.00,1.29,-0.18,0.66,-0.57
F1,0478,P10,J_P10_0478_cam101_50f.jpg,3.00,1.00,0.86,-1.15,-1.09,0.51
F1,0479,P10,J_P10_0479_cam101_100f.jpg,5.00,2.00,1.90,0.68,1.61,-1.01
F1,0480,P10,J_P10_0480_cam101_50f.jpg,0.00,1.00,-1.51,-1.93,-0.00,0.58
F1,0481,P10,J_P10_0481_cam101_50f.jpg,5.00,1.00,-2.28,-1.95,1.91,0.54
F1,0482,P10,J_P10_0482_cam101_50f.jpg,6.00,1.00,-0.25,-1.26,2.02,-0.58
F1,0483,P10,J_P10_0483_cam101_50f.jpg,7.00,3.00,1.90,-0.18,2.47,1.75
F1,0484,P10,J_P10_0484_cam101_100f.jpg,3.00,0.00,0.78,0.00,-1.11,-0.00
F1,0485,P10,J_P10_0485_cam101_50f.jpg,3.00,0.00,-0.32,-0.21,-1.02,-0.00
F1,0486,P10,J_P10_0486_cam101_100f.jpg,1.00,1.00,-0.84,-2.00,0.40,0.52
F1,0487,P10,J_P10_0487_cam101_100f.jpg,2.00,2.00,0.00,-1.55,-0.72,0.99
