Group_ID,Person_ID,Pose_ID,Image_Filename,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg
F1,0298,P10,C_P10_0298_cam101_100f.jpg,3.00,0.00,-1.02,-1.79,-1.09,-0.00
F1,0299,P10,C_P10_0299_cam101_100f.jpg,4.00,2.00,-0.53,-1.71,1.42,-1.05
F1,0301,P10,C_P10_0301_cam101_100f.jpg,5.00,1.00,-0.25,-0.17,1.59,-0.55
F1,0302,P10,C_P10_0302_cam101_100f.jpg,5.00,2.00,-5.16,-4.35,-1.90,-1.22
F1,0346,P10,E_P10_0346_cam101_100f.jpg,5.00,1.00,1.84,1.29,1.71,0.58
F1,0347,P10,E_P10_0347_cam101_50f.jpg,2.00,1.00,2.04,1.00,0.78,-0.58
F1,0348,P10,E_P10_0348_cam101_100f.jpg,2.00,3.00,1.55,0.42,0.87,1.87
F1,0350,P10,E_P10_0350_cam101_100f.jpg,3.00,1.00,2.81,0.00,1.16,-0.60
F2,0791,P10,C_P10_0791_cam101_100f.jpg,1.00,4.00,0.24,-1.34,-0.31,-1.66
F2,0792,P10,C_P10_0792_cam101_100f.jpg,3.00,5.00,-0.83,-0.56,-1.05,-2.43
F2,0793,P10,C_P10_0793_cam101_100f.jpg,2.00,2.00,-0.52,-1.61,0.72,1.05
F2,0795,P10,C_P10_0795_cam101_100f.jpg,7.00,2.00,-0.50,-1.42,2.18,-1.01
F2,0841,P10,E_P10_0841_cam101_100f.jpg,2.00,3.00,0.60,-2.98,-0.78,-1.95
F2,0846,P10,E_P10_0846_cam101_100f.jpg,11.00,2.00,-2.51,-1.21,3.62,1.12
F2,0847,P10,E_P10_0847_cam101_100f.jpg,3.00,0.00,-0.46,-0.65,-0.98,-0.00
F2,0848,P10,E_P10_0848_cam101_100f.jpg,4.00,3.00,-1.57,-2.36,-1.46,1.55
F2,0917,P10,H_P10_0917_cam101_50f.jpg,3.00,0.00,-1.77,-0.70,0.90,-0.00
F3,1287,P10,C_P10_1287_cam101_100f.jpg,6.00,2.00,-0.30,-2.10,-1.95,-1.09
F3,1288,P10,C_P10_1288_cam101_100f.jpg,3.00,1.00,0.27,-1.48,0.98,-0.55
F3,1289,P10,C_P10_1289_cam101_100f.jpg,0.00,2.00,0.53,-1.29,-0.00,1.02
F3,1290,P10,C_P10_1290_cam101_100f.jpg,2.00,0.00,0.70,-0.50,0.61,-0.00
F3,1337,P10,E_P10_1337_cam101_100f.jpg,0.00,1.00,-2.57,-3.97,-0.00,-0.53
F3,1338,P10,E_P10_1338_cam101_100f.jpg,0.00,3.00,3.00,-0.75,-0.00,1.68
F3,1339,P10,E_P10_1339_cam101_100f.jpg,2.00,3.00,-0.54,-2.42,-0.75,-1.67
F3,1340,P10,E_P10_1340_cam101_100f.jpg,2.00,1.00,-0.25,-2.84,0.71,-0.53
F3,1411,P10,H_P10_1411_cam101_100f.jpg,3.00,0.00,1.61,1.29,1.05,-0.00
F4,1783,P10,C_P10_1783_cam101_50f.jpg,4.00,3.00,0.00,-1.10,-1.47,1.52
F4,1784,P10,C_P10_1784_cam101_100f.jpg,5.00,0.00,2.62,2.00,2.03,-0.00
F4,1786,P10,C_P10_1786_cam101_100f.jpg,0.00,3.00,1.34,-0.37,-0.00,1.75
F4,1787,P10,C_P10_1787_cam101_100f.jpg,2.00,4.00,-1.61,-2.83,-0.71,1.89
F4,1833,P10,E_P10_1833_cam101_100f.jpg,0.00,0.00,-1.52,-1.39,-0.00,-0.00
F4,1834,P10,E_P10_1834_cam101_100f.jpg,3.00,3.00,3.45,2.09,1.19,1.70
F4,1835,P10,E_P10_1835_cam101_100f.jpg,3.00,0.00,-3.09,-3.03,-1.18,-0.00
F4,1836,P10,E_P10_1836_cam101_100f.jpg,5.00,4.00,2.79,0.42,-1.86,2.03
F4,1907,P10,H_P10_1907_cam101_100f.jpg,0.00,0.00,2.88,1.08,-0.00,-0.00
M1,0052,P10,C_P10_0052_cam101_100f.jpg,6.00,3.00,-3.54,-2.81,-1.95,-1.67
